,link,type,year
224,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/53Kings13CongressRecap.pdf,General,2006
225,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/54Richmond13CongressRecap.pdf,General,2006
226,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/55Crossover14CongressRecap.pdf,General,2006
227,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/56NY14CongressRecap.pdf,General,2006
228,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/57Queens14CongressRecap.pdf,General,2006
229,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/58NY15CongressRecap.pdf,General,2006
230,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/59Bronx16CongressRecap.pdf,General,2006
231,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/60Bronx17CongressRecap.pdf,General,2006
232,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/61Queens10SenateRecap.pdf,General,2006
233,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/62Queens11SenateRecap.pdf,General,2006
234,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/63Queens12SenateRecap.pdf,General,2006
235,http://vote.nyc.ny.us/downloads/pdf/results/2006/general/recaps/64Queens13SenateRecap.pdf,General,2006
